"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"68519";"PEREIRAS";"68519";"PEREIRAS";41;11;"Prefeito";7069;19;0;0;19;5591;0;1478;"N";5591;5205;5205;5205;0;0;0;0;0;0;0;0;0;125;261;261;0;0;"18:39:39";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"64351";"GARÇA";"64351";"GARÇA";47;11;"Prefeito";35137;111;6;0;117;26569;0;8568;"N";26569;24089;24089;24089;0;0;0;0;0;0;0;0;0;972;1508;1508;0;0;"19:03:26";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"69752";"RINCÃO";"69752";"RINCÃO";239;11;"Prefeito";8008;26;1;0;27;6349;0;1659;"N";6349;3643;3643;3643;0;0;0;0;0;0;0;0;0;264;2442;2442;0;0;"14:27:00";"07/06/2018"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"62170";"BATATAIS";"62170";"BATATAIS";22;11;"Prefeito";43030;118;3;0;121;33478;0;9552;"N";33478;28269;28269;28269;0;0;0;0;0;0;0;0;0;1760;3449;3449;0;0;"15:14:42";"14/12/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"66150";"JOSÉ BONIFÁCIO";"66150";"JOSÉ BONIFÁCIO";64;11;"Prefeito";26022;70;5;0;75;21324;0;4698;"N";21324;20087;20087;20087;0;0;0;0;0;0;0;0;0;423;814;814;0;0;"18:18:49";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"61697";"AREIAS";"61697";"AREIAS";105;11;"Prefeito";3524;10;1;0;11;2979;0;545;"N";2979;2814;2814;2814;0;0;0;0;0;0;0;0;0;45;120;120;0;0;"18:01:38";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"68110";"PARAGUAÇU PAULISTA";"68110";"PARAGUAÇU PAULISTA";12;11;"Prefeito";32465;91;0;0;91;25034;0;7431;"N";25034;22863;22863;22863;0;0;0;0;0;0;0;0;0;857;1314;1314;0;0;"18:29:25";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"64556";"GUARÁ";"64556";"GUARÁ";338;11;"Prefeito";15214;43;0;0;43;12444;0;2770;"N";12444;11676;11676;11676;0;0;0;0;0;0;0;0;0;226;542;542;0;0;"17:54:25";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"66117";"JOANÓPOLIS";"66117";"JOANÓPOLIS";92;11;"Prefeito";9491;28;0;0;28;7706;0;1785;"N";7706;7003;7003;7003;0;0;0;0;0;0;0;0;0;204;499;499;0;0;"19:02:31";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"71072";"SÃO PAULO";"71072";"SÃO PAULO";346;11;"Prefeito";135630;353;1;0;354;104089;0;31541;"N";104089;92113;92113;92113;0;0;0;0;0;0;0;0;0;3992;7984;7984;0;0;"14:11:09";"26/06/2018"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"64033";"EMBU-GUAÇU";"64033";"EMBU-GUAÇU";370;11;"Prefeito";52749;137;0;0;137;41820;0;10929;"N";41820;35010;35010;35010;0;0;0;0;0;0;0;0;0;2433;4377;4377;0;0;"22:19:29";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"69671";"RIBEIRÃO PIRES";"69671";"RIBEIRÃO PIRES";382;11;"Prefeito";24210;77;4;0;81;19308;0;4902;"N";19308;15589;15589;15589;0;0;0;0;0;0;0;0;0;1049;2670;2670;0;0;"21:24:44";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"62006";"ILHA COMPRIDA";"62006";"ILHA COMPRIDA";51;11;"Prefeito";10894;30;0;0;30;8792;0;2102;"N";8792;5135;5135;5135;0;0;0;0;0;0;0;0;0;119;3538;3538;0;0;"18:50:30";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"62049";"TORRE DE PEDRA";"62049";"TORRE DE PEDRA";140;11;"Prefeito";2724;8;0;0;8;2303;0;421;"N";2303;2224;2224;2224;0;0;0;0;0;0;0;0;0;20;59;59;0;0;"14:37:29";"03/11/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"64432";"GLICÉRIO";"64432";"GLICÉRIO";289;11;"Prefeito";4282;13;0;0;13;3746;0;536;"N";3746;3580;3580;3580;0;0;0;0;0;0;0;0;0;38;128;128;0;0;"18:39:36";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"67431";"MURUTINGA DO SUL";"67431";"MURUTINGA DO SUL";9;11;"Prefeito";3654;11;1;0;12;3048;0;606;"N";3048;2871;2871;2871;0;0;0;0;0;0;0;0;0;49;128;128;0;0;"19:04:13";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"63177";"CASA BRANCA";"63177";"CASA BRANCA";39;11;"Prefeito";21006;63;0;0;63;15580;0;5426;"N";15580;13604;13604;13604;0;0;0;0;0;0;0;0;0;751;1225;1225;0;0;"18:08:49";"14/12/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"68012";"PALESTINA";"68012";"PALESTINA";231;11;"Prefeito";8866;29;0;0;29;7508;0;1358;"N";7508;7174;7174;7174;0;0;0;0;0;0;0;0;0;133;201;201;0;0;"18:07:48";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"61662";"ESTIVA GERBI";"61662";"ESTIVA GERBI";216;11;"Prefeito";8573;23;0;0;23;7477;0;1096;"N";7477;6767;6767;6767;0;0;0;0;0;0;0;0;0;189;521;521;0;0;"19:11:48";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"61093";"ÁGUAS DE LINDÓIA";"61093";"ÁGUAS DE LINDÓIA";134;11;"Prefeito";14294;40;1;0;41;11408;0;2886;"N";11408;10614;10614;10614;0;0;0;0;0;0;0;0;0;232;562;562;0;0;"18:39:32";"02/10/2016"
"19/01/2026";"14:01:37";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"70734";"SÃO BENTO DO SAPUCAÍ";"70734";"SÃO BENTO DO SAPUCAÍ";120;11;"Prefeito";9249;27;0;0;27;7328;0;1921;"N";7328;6703;6703;6703;0;0;0;0;0;0;0;0;0;209;416;416;0;0;"17:25:54";"02/10/2016"
