"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS"
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"71650";"TAIÚVA";71650;"TAIÚVA";61;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";-1;"#NULO#";"#NULO#";"#NULO#";250000002472;"SEMPRE POR TAIUVA";"DEM / PSD / SD / PT";"N";0;0;0;19;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"67016";"MIRA ESTRELA";67016;"MIRA ESTRELA";224;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";-1;"#NULO#";"#NULO#";"#NULO#";250000002894;"HONESTIDADE E COMPROMISSO COM O POVO DE MIRA ESTRELA";"PP / PTB / PR / DEM / PSDB / PEN";"N";1;0;1;155;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"67938";"OSVALDO CRUZ";67938;"OSVALDO CRUZ";163;13;"Vereador";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";250000002973;"OSVALDO CRUZ PARA TODOS";"PTB / PP / PMDB";"N";21;0;21;1013;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"70572";"SANTO ANDRÉ";70572;"SANTO ANDRÉ";307;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";250000003168;"Carinho por Santo André";"PRB / PSB";"N";642;0;642;2719;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"63118";"CARAGUATATUBA";63118;"CARAGUATATUBA";206;13;"Vereador";"Coligação";33;"PMN";"Partido da Mobilização Nacional";-1;"#NULO#";"#NULO#";"#NULO#";250000003295;"RENOVAÇÃO E DEDICAÇÃO";"PMN / PRP / PSC";"N";11;0;11;306;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"62162";"QUADRA";62162;"QUADRA";140;13;"Vereador";"Coligação";12;"PDT";"Partido Democrático Trabalhista";-1;"#NULO#";"#NULO#";"#NULO#";250000003814;"QUADRA GOVERNAR PARA TODOS";"PTB / PPS / DEM / PDT / PP / PRB / PSD / PT / PV / SD / PMDB";"N";4;0;4;230;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"61174";"ALTAIR";61174;"ALTAIR";80;11;"Prefeito";"Coligação";22;"PR";"Partido da República";-1;"#NULO#";"#NULO#";"#NULO#";250000004137;"ALTAIR ESTRELA BRILHANTE";"PR / PMDB / PSDB / PRB / PP / PEN / PV / PTN";"N";0;0;0;1561;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"61352";"AMÉRICO DE CAMPOS";61352;"AMÉRICO DE CAMPOS";138;13;"Vereador";"Coligação";90;"PROS";"Partido Republicano da Ordem Social";-1;"#NULO#";"#NULO#";"#NULO#";250000004361;"SD PMDB PTB PV PROS PSD PC DO B";"PMDB / PV / PTB / PSD / SD / PROS / PC do B";"N";0;0;0;79;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"62456";"BORACÉIA";62456;"BORACÉIA";86;11;"Prefeito";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";-1;"#NULO#";"#NULO#";"#NULO#";250000004406;"NOVO TEMPO BORACEIA PARA TODOS";"PMDB / PSDB / PP / DEM / PTN";"N";0;0;0;2044;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"65072";"IGUAPE";65072;"IGUAPE";51;13;"Vereador";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";250000005067;"JUNTOS PELO POVO";"SD / PMDB / PP / PTB / PSL / PROS / PTC";"N";8;0;8;132;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"71170";"SÃO SEBASTIÃO DA GRAMA";71170;"SÃO SEBASTIÃO DA GRAMA";366;13;"Vereador";"Coligação";77;"SD";"Solidariedade";-1;"#NULO#";"#NULO#";"#NULO#";250000005121;"PCdoB/SD";"PC do B / SD";"N";3;0;3;279;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"71137";"SÃO ROQUE";71137;"SÃO ROQUE";131;13;"Vereador";"Coligação";43;"PV";"Partido Verde";-1;"#NULO#";"#NULO#";"#NULO#";250000006177;"PROS / PRB / PV / PHS";"PROS / PRB / PV / PHS";"N";9;0;9;33;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"69973";"SALES";69973;"SALES";207;13;"Vereador";"Coligação";13;"PT";"Partido dos Trabalhadores";-1;"#NULO#";"#NULO#";"#NULO#";250000004206;"CONFIE, O TRABALHO CONTINUA";"PP / PDT / PT / PTN / PR";"N";3;0;3;106;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"69973";"SALES";69973;"SALES";207;11;"Prefeito";"Coligação";12;"PDT";"Partido Democrático Trabalhista";-1;"#NULO#";"#NULO#";"#NULO#";250000004206;"CONFIE, O TRABALHO CONTINUA";"PP / PDT / PT / PTN / PR";"N";0;0;0;960;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"68314";"PAULÍNIA";68314;"PAULÍNIA";323;13;"Vereador";"Coligação";54;"PPL";"Partido Pátria Livre";-1;"#NULO#";"#NULO#";"#NULO#";250000004870;"PTB, PSB, PPL, REDE";"PTB / PSB / PPL / REDE";"N";7;0;7;46;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"61026";"BOREBI";61026;"BOREBI";161;13;"Vereador";"Partido isolado";15;"PMDB";"Partido do Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";250000002264;"PARTIDO ISOLADO";"PMDB";"N";8;0;8;319;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"61948";"ITAPIRAPUÃ PAULISTA";61948;"ITAPIRAPUÃ PAULISTA";10;13;"Vereador";"Coligação";25;"DEM";"Democratas";-1;"#NULO#";"#NULO#";"#NULO#";250000000912;"ITAPIRAPUÃ RUMO AO PROGRESSO";"PRB / PSL / DEM / PSB / PSD / PSDB";"N";52;0;52;0;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"65110";"INDAIATUBA";65110;"INDAIATUBA";211;13;"Vereador";"Coligação";18;"REDE";"Rede Sustentabilidade";-1;"#NULO#";"#NULO#";"#NULO#";250000000986;"PSDC, PSL, REDE";"PSDC / PSL / REDE";"N";23;0;23;878;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"65110";"INDAIATUBA";65110;"INDAIATUBA";211;13;"Vereador";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";-1;"#NULO#";"#NULO#";"#NULO#";250000000986;"PSDC, PSL, REDE";"PSDC / PSL / REDE";"N";14;0;14;653;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"66257";"JUQUITIBA";66257;"JUQUITIBA";201;13;"Vereador";"Coligação";44;"PRP";"Partido Republicano Progressista";-1;"#NULO#";"#NULO#";"#NULO#";250000001255;"UNIDOS POR JUQUITIBA";"PT / PSC / PRP";"N";21;0;21;1;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"71978";"TREMEMBÉ";71978;"TREMEMBÉ";314;11;"Prefeito";"Partido isolado";50;"PSOL";"Partido Socialismo e Liberdade";-1;"#NULO#";"#NULO#";"#NULO#";250000002764;"PARTIDO ISOLADO";"PSOL";"N";0;0;0;560;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"67890";"OSASCO";67890;"OSASCO";285;11;"Prefeito";"Partido isolado";50;"PSOL";"Partido Socialismo e Liberdade";-1;"#NULO#";"#NULO#";"#NULO#";250000004312;"PARTIDO ISOLADO";"PSOL";"N";0;0;0;502;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"70793";"SÃO CARLOS";70793;"SÃO CARLOS";121;13;"Vereador";"Coligação";51;"PEN";"Partido Ecológico Nacional";-1;"#NULO#";"#NULO#";"#NULO#";250000001716;"UMA SAO CARLOS MELHOR E COISA BOA";"PROS / PTN / PEN";"N";16;0;16;89;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"66931";"MERIDIANO";66931;"MERIDIANO";302;13;"Vereador";"Coligação";19;"PTN";"Partido Trabalhista Nacional";-1;"#NULO#";"#NULO#";"#NULO#";250000002453;"GENTE PRA CUIDAR DE GENTE";"PSDB / PTN / DEM";"N";7;85;92;314;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"67890";"OSASCO";67890;"OSASCO";332;13;"Vereador";"Coligação";55;"PSD";"Partido Social Democrático";-1;"#NULO#";"#NULO#";"#NULO#";250000002461;"COLIGAÇÃO OSASCO PARA O FUTURO";"PP / PSC / PSD / PTC";"N";41;0;41;1703;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"67890";"OSASCO";67890;"OSASCO";277;13;"Vereador";"Coligação";36;"PTC";"Partido Trabalhista Cristão";-1;"#NULO#";"#NULO#";"#NULO#";250000002461;"COLIGAÇÃO OSASCO PARA O FUTURO";"PP / PSC / PSD / PTC";"N";7;0;7;30;0;0;0;0
"19/01/2026";"14:01:28";2016;2;"Eleição Ordinária";1;220;"Eleições Municipais 2016";"02/10/2016";"M";"SP";"62103";"CANAS";62103;"CANAS";68;13;"Vereador";"Coligação";40;"PSB";"Partido Socialista Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";250000005315;"RENOVANDO COM TRABALHO E HONESTIDADE";"PSB / PDT / PT / PR / PSC";"N";13;0;13;277;0;0;0;0
