"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61050";"AGUAI";"61050";"AGUAI";-3;13;"Vereador";17355;0;0;0;0;14919;0;2436;"N";0;0;0;12375;142;0;0;0;0;0;0;0;0;1652;0;750;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61069";"MOTUCA";"61069";"MOTUCA";-3;11;"Prefeito";2579;0;0;0;0;2256;0;323;"N";0;0;0;2136;0;0;0;0;0;0;0;0;0;73;0;47;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61077";"AGUAS DA PRATA";"61077";"AGUAS DA PRATA";-3;11;"Prefeito";4583;0;0;0;0;3992;0;591;"N";0;0;0;3682;0;0;0;0;0;0;0;0;0;52;0;258;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61069";"MOTUCA";"61069";"MOTUCA";-3;13;"Vereador";2579;0;0;0;0;2256;0;323;"N";0;0;0;2008;6;0;0;0;0;0;0;0;0;165;0;77;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61085";"IARAS";"61085";"IARAS";-3;11;"Prefeito";1828;0;0;0;0;1528;0;300;"N";0;0;0;1494;0;0;0;0;0;0;0;0;0;13;0;21;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61077";"AGUAS DA PRATA";"61077";"AGUAS DA PRATA";-3;13;"Vereador";4583;0;0;0;0;3992;0;591;"N";0;0;0;3379;42;0;0;0;0;0;0;0;0;387;0;184;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61085";"IARAS";"61085";"IARAS";-3;13;"Vereador";1828;0;0;0;0;1528;0;300;"N";0;0;0;1387;9;0;0;0;0;0;0;0;0;77;0;55;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61093";"AGUAS DE LINDOIA";"61093";"AGUAS DE LINDOIA";-3;11;"Prefeito";9519;0;0;0;0;8250;0;1269;"N";0;0;0;7446;0;0;0;0;0;0;0;0;0;190;0;614;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61107";"GUATAPARA";"61107";"GUATAPARA";-3;11;"Prefeito";3401;0;0;0;0;2976;0;425;"N";0;0;0;2874;0;0;0;0;0;0;0;0;0;38;0;64;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61093";"AGUAS DE LINDOIA";"61093";"AGUAS DE LINDOIA";-3;13;"Vereador";9519;0;0;0;0;8250;0;1269;"N";0;0;0;6661;92;0;0;0;0;0;0;0;0;942;0;555;0;0;"15:16:04";"27/10/2005"
