"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS"
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"70572";"SANTO ANDRE";"70572";"SANTO ANDRE";-3;11;"Prefeito";"#NE";16;"PSTU";"Partido Socialista dos Trabalhadores Unificado";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;809;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"62456";"BORACEIA";"62456";"BORACEIA";-3;11;"Prefeito";"#NE";17;"PSL";"Partido Social Liberal";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;603;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"63053";"CAPAO BONITO";"63053";"CAPAO BONITO";-3;11;"Prefeito";"#NE";17;"PSL";"Partido Social Liberal";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;9483;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"66710";"MAIRIPORA";"66710";"MAIRIPORA";-3;11;"Prefeito";"#NE";18;"PST";"Partido Social Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;6659;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"68977";"POA";"68977";"POA";-3;11;"Prefeito";"#NE";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"63533";"CORONEL MACEDO";"63533";"CORONEL MACEDO";-3;11;"Prefeito";"#NE";13;"PT";"Partido dos Trabalhadores";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"69833";"RIO GRANDE DA SERRA";"69833";"RIO GRANDE DA SERRA";-3;11;"Prefeito";"#NE";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"72370";"VINHEDO";"72370";"VINHEDO";-3;11;"Prefeito";"#NE";21;"PCB";"Partido Comunista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"69019";"POMPEIA";"69019";"POMPEIA";-3;11;"Prefeito";"#NE";20;"PSC";"Partido Social Cristão";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"69434";"RAFARD";"69434";"RAFARD";-3;11;"Prefeito";"#NE";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"62146";"PRATANIA";"62146";"PRATANIA";-3;11;"Prefeito";"#NE";25;"PFL";"Partido da Frente Liberal";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61859";"AVAI";"61859";"AVAI";-3;11;"Prefeito";"#NE";18;"PST";"Partido Social Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"66397";"LIMEIRA";"66397";"LIMEIRA";-3;11;"Prefeito";"#NE";26;"PAN";"Partido dos Aposentados da Nação";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"67334";"MONTE CASTELO";"67334";"MONTE CASTELO";-3;11;"Prefeito";"#NE";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"62030";"BARIRI";"62030";"BARIRI";-3;11;"Prefeito";"#NE";18;"PST";"Partido Social Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"66915";"MENDONCA";"66915";"MENDONCA";-3;11;"Prefeito";"#NE";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"70211";"SANTA BRANCA";"70211";"SANTA BRANCA";-3;13;"Vereador";"#NE";18;"PST";"Partido Social Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"69671";"RIBEIRAO PIRES";"69671";"RIBEIRAO PIRES";-3;11;"Prefeito";"#NE";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"72311";"VARGEM GRANDE DO SUL";"72311";"VARGEM GRANDE DO SUL";-3;11;"Prefeito";"#NE";25;"PFL";"Partido da Frente Liberal";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
